,Distance,speed,speed (km/h),dx,t(s)
0,0.0,32.646492370472814,117.52737253370213,0.0,0.0
1,1.0,32.85909775292719,118.29275191053789,1.0,0.030432971943391746
2,3.0,33.27663751430348,119.79589505149254,2.0,0.06010222634845029
3,4.0,33.4799944915821,120.52798016969555,1.0,0.029868583169911537
4,6.0,33.87976223092507,121.96714403133025,2.0,0.0590322915009841
5,7.0,34.07471937847809,122.66898976252114,1.0,0.029347270300092602
6,8.0,34.26705068402617,123.3613824624942,1.0,0.029182552336380594
7,10.0,34.64557508685232,124.72407031266835,2.0,0.057727429693005206
8,11.0,34.83045573538287,125.38964064737833,1.0,0.02871050575959418
9,13.0,35.19459098828744,126.70052755783477,2.0,0.05682691413193547
10,14.0,35.37262450096578,127.3414482034768,1.0,0.028270449651613978
11,15.0,35.5485014618194,127.97460526254984,1.0,0.028130581005616863
12,17.0,35.89521257848517,129.22276528254662,2.0,0.055717736609777246
13,18.0,36.06493161642687,129.83375381913672,1.0,0.02772776642516964
14,20.0,36.39970369983808,131.03893331941708,2.0,0.0549455022077253
15,21.0,36.56371128144649,131.62936061320735,1.0,0.027349521286353384
16,23.0,36.88739418762351,132.79461907544461,2.0,0.05421906437270221
17,24.0,37.04608658083341,133.3659116910003,1.0,0.02699340449410307
18,25.0,37.203091333151754,133.9311287993463,1.0,0.026879486735256804
19,27.0,37.513157419815,135.047366711334,2.0,0.05331462712183141
20,28.0,37.66530975426954,135.59511511537036,1.0,0.026549628996125414
21,30.0,37.96592749951661,136.6773389982598,2.0,0.05267881312857336
22,31.0,38.11353335992079,137.20872009571482,1.0,0.026237399470592625
23,32.0,38.259689292987275,137.7348814547542,1.0,0.026137169916413638
24,34.0,38.54861681348307,138.77502052853907,2.0,0.05188253601100582
25,35.0,38.690587938382414,139.2861165781767,1.0,0.025846079196123178
26,37.0,38.97134772594647,140.2968518134073,2.0,0.05131975455568947
27,38.0,39.109375837355,140.79375301447803,1.0,0.025569316272361937
28,39.0,39.24614186376277,141.286110709546,1.0,0.02548021162109013
29,41.0,39.51673207983132,142.26023548739275,2.0,0.05061147252661529
30,42.0,39.649843838486426,142.73943781855112,1.0,0.025220780290421782
31,44.0,39.91328760737178,143.6878353865384,2.0,0.05010862597123195
32,45.0,40.04293996187621,144.15458386275435,1.0,0.024973191302938114
33,47.0,40.29961323589403,145.0786076492185,2.0,0.04962826785192671
34,48.0,40.4259847618594,145.53354514269384,1.0,0.024736565006165726
35,49.0,40.55130166050732,145.98468597782636,1.0,0.024660120860531938
36,51.0,40.799482940307655,146.87813858510756,2.0,0.04902022907805308
